,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances
Round,Round 0,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
TeamName,,,,,,,,
Gonzaga,,2.65,14.530000000000001,19.42,20.77,11.33,10.74,20.560000000000002
Kansas,,5.800000000000001,22.06,15.190000000000001,19.54,12.6,10.280000000000001,14.530000000000001
Dayton,,4.96,18.38,17.72,16.73,17.79,10.41,14.01
Duke,,13.48,16.45,19.950000000000003,20.77,11.42,8.66,9.27
San Diego St,,9.76,29.110000000000003,20.14,19.85,8.05,6.279999999999999,6.81
Baylor,,12.49,24.33,24.560000000000002,15.2,13.03,5.27,5.12
Michigan St,,13.969999999999999,19.37,23.919999999999998,17.810000000000002,14.32,5.67,4.9399999999999995
Florida St,,13.16,32.14,19.29,19.12,9.58,3.9699999999999998,2.74
Creighton,,15.0,24.55,28.89,15.58,10.190000000000001,3.2199999999999998,2.5700000000000003
Louisville,,26.009999999999998,26.99,21.72,11.68,8.03,3.1199999999999997,2.45
BYU,,26.77,30.03,23.78,11.24,3.88,2.35,1.95
Oregon,,17.150000000000002,28.84,35.19,10.09,4.53,2.37,1.83
Kentucky,,14.14,25.490000000000002,32.83,16.24,6.1899999999999995,3.38,1.73
Arizona,,37.57,36.63,11.32,8.67,2.8000000000000003,1.58,1.43
Ohio St,,28.07,35.97,18.34,9.2,5.4399999999999995,1.76,1.22
Villanova,,18.86,30.79,27.150000000000002,13.98,6.0600000000000005,2.03,1.13
Seton Hall,,17.5,38.2,26.88,11.37,3.01,1.97,1.0699999999999998
West Virginia,,37.1,33.18,12.32,10.16,4.53,1.81,0.8999999999999999
Auburn,,34.08,28.33,25.06,7.95,2.75,1.13,0.7000000000000001
Maryland,,31.009999999999998,27.400000000000002,26.790000000000003,7.46,4.9399999999999995,1.71,0.69
Wisconsin,,31.830000000000002,30.69,25.75,7.33,2.7199999999999998,1.1199999999999999,0.5599999999999999
Houston,,41.63,41.14,7.85,5.59,2.3,0.98,0.51
Michigan,,30.580000000000002,36.559999999999995,23.06,6.29,2.18,0.88,0.44999999999999996
Penn St,,32.5,33.51,20.21,9.120000000000001,3.2199999999999998,1.03,0.41000000000000003
Butler,,34.9,31.580000000000002,22.5,5.84,3.6900000000000004,1.18,0.31
St Mary's CA,,47.77,34.23,10.8,4.45,2.07,0.48,0.2
LSU,,39.12,49.0,7.109999999999999,3.1399999999999997,1.01,0.42,0.2
Illinois,,40.589999999999996,36.46,14.02,6.12,2.04,0.6,0.16999999999999998
Texas Tech,,62.43,26.41,6.43,3.54,0.67,0.35000000000000003,0.16999999999999998
Colorado,,47.78,39.660000000000004,6.859999999999999,3.49,1.59,0.47000000000000003,0.15
Marquette,,58.37,31.97,5.220000000000001,2.96,0.96,0.37,0.15
Providence,,43.57,34.339999999999996,15.329999999999998,4.64,1.39,0.6,0.13
Iowa,,45.32,40.12,8.28,4.17,1.31,0.6799999999999999,0.12
Virginia,,49.730000000000004,35.47,8.62,4.22,1.55,0.3,0.11
Utah St,,62.9,24.34,6.75,4.25,1.34,0.32,0.1
Rutgers,,52.23,31.990000000000002,9.9,4.0,1.51,0.3,0.06999999999999999
Florida,,52.22,37.84,5.57,2.8899999999999997,1.11,0.3,0.06999999999999999
ETSU,,54.67999999999999,35.160000000000004,6.3,2.81,0.73,0.25,0.06999999999999999
Richmond,39.77,36.74,14.13,7.23,1.46,0.48,0.12,0.06999999999999999
Cincinnati,,50.27,35.63,8.959999999999999,3.62,1.16,0.31,0.05
Arizona St,,56.43,30.0,10.01,2.74,0.5700000000000001,0.2,0.05
Vermont,,73.99,16.59,6.61,1.97,0.65,0.13999999999999999,0.05
Liberty,,65.92,20.47,10.86,2.02,0.5599999999999999,0.13999999999999999,0.03
USC,,59.41,28.09,8.85,2.81,0.7100000000000001,0.1,0.03
SF Austin,,71.93,20.45,5.66,1.35,0.52,0.06999999999999999,0.02
Yale,,69.42,22.13,7.07,1.05,0.29,0.02,0.02
Akron,,68.99,19.0,9.69,1.66,0.54,0.11,0.01
NC State,40.94,37.35,13.58,5.89,1.66,0.47000000000000003,0.1,0.01
North Texas,,68.17,20.51,9.27,1.67,0.31,0.06,0.01
Belmont,,86.52,8.27,3.7600000000000002,1.08,0.3,0.06,0.01
Oklahoma,,60.88,34.08,3.7800000000000002,1.05,0.16,0.04,0.01
Bradley,,86.03,9.53,3.26,0.97,0.16999999999999998,0.03,0.01
Texas,60.23,28.360000000000003,7.89,2.91,0.42,0.16999999999999998,0.01,0.01
Winthrop,,87.51,9.45,2.41,0.47000000000000003,0.13999999999999999,0.01,0.01
Indiana,,73.22999999999999,17.8,6.94,1.63,0.33,0.06999999999999999,
N Dakota St,,85.86,10.17,3.54,0.33999999999999997,0.06999999999999999,0.02,
UCLA,59.06,30.15,8.08,2.17,0.42,0.11,0.01,
New Mexico St,,82.85,12.47,4.12,0.45999999999999996,0.09,0.01,
N Kentucky,,86.83999999999999,10.34,2.23,0.5,0.08,0.01,
Ark Little Rock,,85.0,10.9,3.4799999999999995,0.5499999999999999,0.06,0.01,
UC Irvine,,90.24,7.85,1.53,0.33,0.04,0.01,
Hofstra,,81.14,14.04,3.9899999999999998,0.74,0.09,,
E Washington,,82.5,13.969999999999999,2.98,0.51,0.04,,
Siena,,94.19999999999999,4.83,0.8,0.15,0.02,,
Robert Morris,60.08,38.24,1.41,0.26,,0.01,,
Boston Univ,39.92,56.8,2.71,0.47000000000000003,0.1,,,
Prairie View,40.300000000000004,57.989999999999995,1.52,0.18,0.01,,,
NC Central,59.699999999999996,39.36,0.8699999999999999,0.06999999999999999,,,,
